No,tweet,Sentimen
12,a @jaejenay ga kerasa udh setahun ak sekolah online😭 udah terlanjur nyaman,1
16,"@subtanyarl Wkwkwk biar lebih hemat lah nder, apalagi sekolah ama kuliah online gini kalo pake kuota boros banget",1
18,a @innerchild_ug saking lamanya sekolah online sampe lupa tanggal merah 🤣,1
25,a @subtanyarl Gua juga pen sekolah offline. Tpi enak online karena santai,1
36,@indo_Osky Wow diem2 selama sekolah online jadi artis wkwkwk,1
48,"klo disuru milih mending sklh online apa offline, gua milih sekolah online",1
55,"gw pengen sehari aja di sekolah, kek dulu sblm pandemi. gw kangen vibesnya :). TAPI GW GAMAU OFFLINE KRN GW UDH COMFORTABLE BELAJAR ONLINE HEHE.",1
72,lucu juga sih masnya nyalahin sekolah online bikin anak-anak jadi malas dan suka nyontek.,1
94,Sekolah lain US nya offline. Untung aku masih online :),1
105,"prefer sekolah onnline, ujian online sih https://t.co/jbFpTxrHWz",1
117,"suka online sih, tapi sekolah aku belajar online cuma dari jam 7 sampai jam 11",1
120,"kalo dipikir-pikir ya, sekarang kan apa-apa online, sekolah online, kerja online, bisnis online. ",1
126,"a @nct_menfess tertarik banget, pagi hingga malem, ngerjain tugas dan sekolah online gue",1
132,Gara2 sekolah online klo ada libur aku gatau itu libur karena apa wkwkwk,1
137,Hahahaa. Masih online? Gmana sekolah gk tatap muka rasanya? Enak kan,1
139,"pls sekolah gue juga termasuk cepet banget adaptasi sama online nya, dari awal corona beneran dua minggu langsung zoom online kek sekolah biasa",1
162,"a @Awqi_Gibran @me_iwan @ruliemaulana Ini bener jg, sih. 

Buat saya, argumentasinya adalah kebetulan 1.7% itu tingkat kematian yg bukan ""nggak kenapa-kenapa"" terutama klo saya sebagai orang tua yg kebetulan punya akses lancar ke sekolah online.",1
164,"a @IanSPCC Bener, saya jg td blg bahwa posisi saya menolak sekolah dibuka adalah sebagai ortu yg kebetulan punya akses lancar ke sekolah online. ",1
175,Kalian lebih suka sekolah offline ap online? Aku enakan online ya,1
181,Bersedia anaknya sekolah tatap muka lagi? Belum mau,1
193,"Perbolehkan tatap muka bagi sekolah dan Guru yang udah siap aja, kalo persiapan masih bobrok mending online.",1
194,"Betul, makanya aku nggak ikut menolak rencana sekolah dibuka karena ya sekolah offline saat pandemi gini BUKAN untuk anakku yang selama ini sekolah online dengan sangat sangat lancar di Zoom. https://t.co/6Hfbgxx4vI",1
200,@JOOHONEYSM hmm tu la kalau first2 ni online mmg tak fhm so nnti masuk sekolah baru senang sikit faham so bersabarlah HAHA,1
225,@pyochiz iyaa online tp yg ak denger si katanya ntar dilaksanainnya disekolah pake komputer sekolah trs ada pengawasnya juga dari pusat tp gatau deh,1
226,"aslinya mau sekolah online tapi ga pengen belajar, pengennya becanda ma adkel, jamkos ke kantin hehe",1
241,pengen sekolah offline atau online? Aku pro online,1
251,"I do want physical school than online , but udah terlanjur nyaman online",1
329,pengen sekolah sm ujiannya online aja lah,1
356,"@pecahtelor iya bisa dipahami, sekolah online itu nuansanya bekerja sih",1
401,"@Matarael @mrshananto Dulu itu kalo ga salah Korsel mengizinkan sekolah tatap muka setelah angka kasus rendah, tapi kemudian muncul klaster sekolah lalu balik ke online lagi. Lah Indonesia angka kasus baru per tgl 3 April aja masih di atas 4ribu. Ini mah namanya nekat",1
446,"a @khabphiii @subtanyarl online/offline jg sama aja si, aku susah komunikasi orangnya. Apalagi kalo kuliah tuh vibesnya udah beda, gak kayak waktu sekolah. Jadi mending online kl akuu",1
926,a @SoundOfYogi saya akui sekolah online efektif dan banyak plusnya,1
931,Besok dah graduate hehehe gak berasa sekolah online setahunnya,1
1070,males sekolah ya mening online aja,1
5,@shizunecarla mentang-mentang sekolah online :),1
6,"@jehianps Terimakasih Ya Umat Kristiani berkat kalian saya hari ini jadi libur sekolah online,ulangan matematika minat saya jadi diundur hehehe(((:",1
7,"@schfess Sebenernya didalem kegiatannya tuh kayak negeri rasa swasta, alias minim jamkos bet bro. Ekskulnya juga pada aktif dan didalemnya. Nugas mulu sih tpi gua jadi ngerti materi at least. Di online kek gini sama aja berasa sekolah biasa malah makin gila tpi gpp kuota snm-nya banyak.",1
31,Terus pagi2 ditelpon sama ibuk camer wkwkw. Minta tolong besok disuruh main ke rumah buat daftarin sekolah online adik ipar wkwkw🤣 Ketambahan dibeliin ibukku camilan sama pempek huaa enak seneng senengg😍,1
33,"Ow ya, kalau dilihat2 sekolah disini menekankan banget anak harus punya jam baca yang banyak. Baca apa aja yg sesuai umurnya, ga terbatas cuma pelajaran aja. Sekolah juga kasih akses buku online. Aku aja yg lihat buku2nya ngiler 😆 andai dulu waktu kecil punya kesempatan kekgitu",1
37,"@thiyut Kok pd gak takut ya anaknya ketularan 😩.

Emang sih capek dan stress dampingin anak sekolah online, tp gw masi blm yakin. Lagian anak gw sekelas dikit jg muridnya, kl masuk 50% lah cm bdua doang buat apaan 🤣",1
43,"@asti_c mungkin efeknya anak lebih addict sama teknologi (karena online class), bisa jg bikin anak ga luwes interaksi sama orang lain? tp mau gimana lagi anak kecil malah lebih rawan susah diatur ntar kalo mereka sekolah malah tukeran masker sama temennya gimana...apa ga horor emaknya 😭",1
46,dipikir pikir mending sekolah online drpd offline alias ga seru dikitan,1
50,Udah nyaman sekolah online gimna dong? T-tapi bikin tambah bodoh juga :(,1
